tc_us,Ge_WK,Cc,T2s_us,ea,Ts_mK,SNR,eps_pct,dominant_failure,g_d10,g_d3,g_d13,g_d18
0.03896737989436969,1.554804549213176e-05,0.05446958291571055,8.279569622054051,0.060428423048268995,10.272433094684267,0.00021560595512445908,0.03876466912424473,tau_c_detection,True,True,False,True
0.005939241908279472,1.3506262912949799e-05,0.07332192497176723,19.35819608310172,0.04692756360901014,10.303646019163274,0.00043645360655649443,0.5140730091767354,tau_c_detection,True,True,False,True
1.0672717588108978,2.0093150784172277e-05,0.17106924099115706,15.945976800407271,0.06289824731637605,10.212272884534292,0.12120576432773253,0.7979951407998873,tau_c_detection,True,True,False,True
0.0023259215860767066,2.5735116606324873e-05,0.14277796285463693,17.925603504661662,0.06618817162054097,10.166962167087382,0.0002848966022139733,0.8626006721491412,tau_c_detection,True,True,False,True
121.7518458348737,1.2234699090052681e-05,0.06196879653854413,8.491863295415454,0.02808011435277833,10.319874888573503,0.8044407167813284,0.0461843110619599,tau_c_detection,True,True,False,True
74.65313414652451,1.4254524177922065e-05,0.08142605461572316,9.004667330736702,0.09493236701699953,10.321578178612507,0.805476052120036,0.07541274161396917,tau_c_detection,True,True,False,True
28.549463419631344,2.322816994875873e-05,0.07451037406428926,10.691831626364719,0.09916186805092762,10.199163512584652,0.49461786384037465,0.1218155598633571,tau_c_detection,True,True,False,True
0.13865227753806458,2.607129800474524e-05,0.16639998673193673,8.435721079461565,0.022568019512323022,10.148003619235705,0.0025109317608691855,0.12765293104238257,tau_c_detection,True,True,False,True
0.007536905028219372,1.0483018978932085e-05,0.19963064097426658,12.642894405146968,0.02727275297390351,10.372444624031615,0.0005682723709012301,0.5256977662134675,tau_c_detection,True,True,False,True
17.096797224175035,2.4801984109074103e-05,0.11332399501995262,5.952915592279357,0.050529542920522946,10.166989093391447,0.05018756835942617,0.020672757491602765,tau_c_detection,True,True,False,True
0.13633316580506555,2.651949255586245e-05,0.05172215329142295,15.81082729040292,0.07453682952212598,10.165140427002994,0.004604625302093747,0.23787526228609268,tau_c_detection,True,True,False,True
0.12797124821126346,7.788804339896912e-06,0.11521478760036576,11.805855594938098,0.09630527420168641,10.590437182581075,0.004612069133383752,0.24867931008029953,tau_c_detection,True,True,False,True
74.43234325150725,9.466297013253284e-06,0.18689417590172308,18.057778547551504,0.04387558331589063,10.430297733649631,11.488411962552956,1.0731567257036074,eps_secondary_load,True,True,True,False
0.3919660532942852,2.406277000187878e-05,0.13090685451794387,16.679397179458377,0.062428293775614194,10.176857243210998,0.03767139863645814,0.6765028692417261,tau_c_detection,True,True,False,True
0.010644658082270438,7.14133630169697e-06,0.12289856949749207,6.038187777025755,0.08084817322057852,10.622247380428735,3.643213425565868e-05,0.023580764849462574,tau_c_detection,True,True,False,True
20.623801034830564,1.8745089837373598e-05,0.08975849434100888,18.086495616278864,0.05385103521607096,10.222509242788185,1.5922755551969596,0.5422305181059174,tau_c_detection,True,True,False,True
13.82314069169237,1.0028776584742397e-05,0.09675744369513425,19.927240349913422,0.07199024461115629,10.434097751124368,1.403047396764817,0.7055882808847354,tau_c_detection,True,True,False,True
0.0036978108130716223,1.0617433425788936e-05,0.1007128343221183,13.824630776858502,0.03840917860772616,10.378299778493885,0.00017680485781927592,0.33327258891342776,tau_c_detection,True,True,False,True
0.03324078470782393,7.460446778798973e-06,0.11039319231534032,10.08953908092445,0.0889338029082233,10.606123414280205,0.0007246771543443118,0.15031702093211097,tau_c_detection,True,True,False,True
27.93486566547015,2.4601765048714233e-05,0.1182512551008715,11.345112289852446,0.09658541126877386,10.187068496293515,0.913948508255203,0.23017795295513357,tau_c_detection,True,True,False,True
0.004374130359706912,1.960443986147428e-05,0.12542755743792705,17.790798380724283,0.03259461823515866,10.20210389159307,0.0004627059279682478,0.7436724041437232,tau_c_detection,True,True,False,True
0.09326587784965229,1.987587766125069e-05,0.15128188304061355,8.528058425013969,0.029590929115769937,10.197814900973944,0.0015932891944163941,0.1201244636380972,tau_c_detection,True,True,False,True
